id,name,description,procedures
T1558,Steal or Forge Kerberos Tickets,"Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets to enable [Pass the Ticket] Kerberos is an authentication protocol widely used in modern Windows domain environments. In Kerberos environments, referred to as “realms”, there are three basic participants: client, service, and Key Distribution Center (KDC). Clients request access to a service and through the exchange of Kerberos tickets, originating from KDC, they are granted access after having successfully authenticated. The KDC is responsible for both authentication and ticket granting.  Adversaries may attempt to abuse Kerberos by stealing tickets or forging tickets to enable unauthorized access.  On Windows, the built-in <code>klist</code> utility can be used to list and analyze cached Kerberos tickets.  Linux systems on Active Directory domains store Kerberos credentials locally in the credential cache file referred to as the ""ccache"". The credentials are stored in the ccache file while they remain valid and generally while a user's session lasts. On modern Redhat Enterprise Linux systems, and derivative distributions, the System Security Services Daemon (SSSD) handles Kerberos tickets. By default SSSD maintains a copy of the ticket database that can be found in <code>/var/lib/sss/secrets/secrets.ldb</code> as well as the corresponding key located in <code>/var/lib/sss/secrets/.secrets.mkey</code>. Both files require root access to read. If an adversary is able to access the database and key, the credential cache Kerberos blob can be extracted and converted into a usable Kerberos ccache file that adversaries may use for [Pass the Ticket] The ccache file may also be converted into a Windows format using tools such as Kekeo.   Kerberos tickets on macOS are stored in a standard ccache format, similar to Linux. By default, access to these ccache entries is federated through the KCM daemon process via the Mach RPC protocol, which uses the caller's environment to determine access. The storage location for these ccache entries is influenced by the <code>/etc/krb5.conf</code> configuration file and the <code>KRB5CCNAME</code> environment variable which can specify to save them to disk or keep them protected via the KCM daemon. Users can interact with ticket storage using <code>kinit</code>, <code>klist</code>, <code>ktutil</code>, and <code>kcc</code> built-in binaries or via Apple's native Kerberos framework. Adversaries can use open source tools to interact with the ccache files directly or to use the Kerberos framework to call lower-level APIs for extracting the user's TGT or Service Tickets. ",[]
T1555,Credentials from Password Stores,"Adversaries may search for common password storage locations to obtain user credentials. Passwords are stored in several places on a system, depending on the operating system or application holding the credentials. There are also specific applications and services that store passwords to make them easier for users to manage and maintain, such as password managers and cloud secrets vaults. Once credentials are obtained, they can be used to perform lateral movement and access restricted information.","['[HEXANE] has run `cmdkey` on victim machines to identify stored credentials.', '[Carberp] passw.plug plugin can gather account information from multiple instant messaging, email, and social media services, as well as FTP, VNC, and VPN clients.', '[Mimikatz] performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from the credential vault and DPAPI.\t', '[Lokibot] has stolen credentials from multiple applications and data sources including Windows OS credentials, email clients, FTP, and SFTP clients.', '[Volt Typhoon] has attempted to obtain credentials from OpenSSH, realvnc, and PuTTY.', '[Leafminer] used several tools for retrieving login and password information, including LaZagne.', '[Matryoshka] is capable of stealing Outlook passwords.', '[Stealth Falcon] malware gathers passwords from multiple sources, including Windows Credential Vault and Outlook.', '[CosmicDuke] collects user credentials, including passwords, for various programs including popular instant messaging applications and email clients as well as WLAN keys.', 'A module in [Prikormka] collects passwords stored in applications installed on the victim.', '[PLEAD] has the ability to steal saved passwords from Microsoft Outlook.', '[APT39] has used the Smartftp Password Decryptor tool to decrypt FTP passwords.', '[Evilnum] can collect email credentials from victims.', '[NETWIRE] can retrieve passwords from messaging and mail client applications.', '[APT33] has used a variety of publicly available tools like [LaZagne] to gather credentials.', '[MuddyWater] has performed credential dumping with [LaZagne] and other tools, including by dumping passwords saved in victim email.', '[QuasarRAT] can obtain passwords from common FTP clients.', '[Astaroth] uses an external software known as NetPass to recover passwords. ', '[Agent Tesla] has the ability to steal credentials from FTP clients and wireless profiles.', '[LaZagne] can obtain credentials from databases, mail, and WiFi across multiple platforms.', '[OLDBAIT] collects credentials from several email clients.', '[PinchDuke] steals credentials from compromised hosts. [PinchDuke] credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by [PinchDuke] include ones associated with many sources such as The Bat!, Yahoo!, Mail.ru, Passport.Net, Google Talk, and Microsoft Outlook.', '[OilRig] has used credential dumping tools such as [LaZagne] to steal credentials to accounts logged into the compromised system and to Outlook Web Access.', '[FIN6] has used the Stealer One credential stealer to target e-mail and file transfer utilities including FTP.', 'During the [SolarWinds Compromise] [APT29] used account credentials they obtained to attempt access to Group Managed Service Account (gMSA) passwords. ', '[Pupy] can use Lazagne for harvesting credentials.', '[PoshC2] can decrypt passwords stored in the RDCMan configuration file.', '[KGH_SPY] can collect credentials from WINSCP.', '[APT29] used account credentials they obtained to attempt access to Group Managed Service Account (gMSA) passwords.', '[UNC2452] used account credentials they obtained to attempt access to Group Managed Service Account (gMSA) passwords.']"
T1589,Gather Victim Identity Information,"Adversaries may gather information about the victim's identity that can be used during targeting. Information about identities may include a variety of details, including personal data (ex: employee names, email addresses, etc.) as well as sensitive details such as credentials.  Adversaries may gather this information in various ways, such as direct elicitation via [Phishing for Information] Information about users could also be enumerated via other active means (i.e. [Active Scanning] such as probing and analyzing responses from authentication services that may reveal valid usernames in a system. Information about victims may also be exposed to adversaries via online or other accessible data sets (ex: [Social Media] or [Search Victim-Owned Websites]  Gathering this information may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains] or [Phishing for Information] establishing operational resources (ex: [Compromise Accounts] and/or initial access (ex: [Phishing] or [Valid Accounts]","['[LAPSUS$] has gathered detailed information of target employees to enhance their social engineering lures.', '[HEXANE] has identified specific potential victims at targeted organizations.', '[FIN13] has researched employees to target for social engineering attacks.', 'For [Operation Dream Job] [Lazarus Group] conducted extensive reconnaissance research on potential targets.', '[APT32] has conducted targeted surveillance against activists and bloggers.', 'During [Operation Wocao] threat actors targeted people based on their organizational roles and privileges.', '[Magic Hound] has acquired mobile phone numbers of potential targets, possibly for mobile malware or additional phishing operations.']"
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.  A specific example is when an adversary injects software into a browser that allows them to inherit cookies, HTTP sessions, and SSL client certificates of a user then use the browser as a way to pivot into an authenticated intranet. Executing browser-based behaviors such as pivoting may require specific process permissions, such as <code>SeDebugPrivilege</code> and/or high-integrity/administrator rights.  Another example involves pivoting browser traffic from the adversary's browser through the user's browser by setting up a proxy which will redirect web traffic. This does not alter the user's traffic in any way, and the proxy connection can be severed as soon as the browser is closed. The adversary assumes the security context of whichever browser process the proxy is injected into. Browsers typically create a new process for each tab that is opened and permissions and certificates are separated accordingly. With these permissions, an adversary could potentially browse to any resource on an intranet, such as [Sharepoint] or webmail, that is accessible through the browser and which the browser has sufficient permissions. Browser pivoting may also bypass security provided by 2-factor authentication.","['[TrickBot] uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page.', '[Dridex] can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.', '[Carberp] has captured credentials when a user performs login through a SSL session.', ""[Melcoz] can monitor the victim's browser for online banking sessions and display an overlay window to manipulate the session in the background."", '[Agent Tesla] has the ability to use form-grabbing to extract data from web data forms.', '[Grandoreiro] can monitor browser activity for online banking actions and display full-screen overlay images to block user access to the intended site or present additional data fields.', '[QakBot] can use advanced web injects to steal web banking credentials.', ""[Cobalt Strike] can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates."", '[IcedID] has used web injection attacks to redirect victims to spoofed sites designed to harvest banking and other credentials.  [IcedID] can use a self signed TLS certificate in connection with the spoofed site and simultaneously maintains a live connection with the legitimate site to display the correct URL and certificates in the browser.', '[Chaes] has used the Puppeteer module to hook and monitor the Chrome web browser to collect user information from infected hosts.', '[Ursnif] has injected HTML codes into banking sites to steal sensitive online banking information (ex: usernames and passwords).', ""[Cobalt Strike] can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.""]"
T1021,Remote Services,"Adversaries may use [Valid Accounts] to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user.  In an enterprise environment, servers and workstations can be organized into domains. Domains provide centralized identity management, allowing users to login using one set of credentials across the entire network. If an adversary is able to obtain a set of valid domain credentials, they could login to many different machines using remote access protocols such as secure shell (SSH) or remote desktop protocol (RDP). They could also login to accessible SaaS or IaaS services, such as those that federate their identities to the domain.   Legitimate applications (such as [Software Deployment Tools] and other administrative programs) may utilize [Remote Services] to access remote hosts. For example, Apple Remote Desktop (ARD) on macOS is native software used for remote management. ARD leverages a blend of protocols, including [VNC] to send the screen and control buffers and [SSH] for secure file transfer. Adversaries can abuse applications such as ARD to gain remote code execution and perform lateral movement. In versions of macOS prior to 10.14, an adversary can escalate an SSH session to an ARD session which enables an adversary to accept TCC (Transparency, Consent, and Control) prompts without user interaction and gain access to data.","['[Wizard Spider] has used the WebDAV protocol to execute [Ryuk] payloads hosted on network file shares.', '[MacMa] can manage remote screen sessions.', '[Brute Ratel C4] has the ability to use RPC for lateral movement.', '[Kivars] has the ability to remotely trigger keyboard input and mouse clicks. ', '[Stuxnet] can propagate via peer-to-peer communication and updates using RPC.', 'RemoteCMD can execute commands remotely by creating a new service on the remote system .']"
T1112,Modify Registry,"Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution.  Access to specific areas of the Registry depends on account permissions, some requiring administrator-level access. The built-in Windows command-line utility [Reg] may be used for local or remote Registry modification.  Other tools may also be used, such as a remote access tool, which may contain functionality to interact with the Registry through the Windows API.  Registry modifications may also include actions to hide keys, such as prepending key names with a null character, which will cause an error and/or be ignored when read via [Reg] or other utilities using the Win32 API.  Adversaries may abuse these pseudo-hidden keys to conceal payloads/commands used to maintain persistence.    The Registry of a remote system may be modified to aid in execution of files as part of lateral movement. It requires the remote Registry service to be running on the target system.  Often [Valid Accounts] are required, along with access to the remote system's [SMB/Windows Admin Shares] for RPC communication.","['[CharmPower] can remove persistence-related artifacts from the Registry.', 'During the [2015 Ukraine Electric Power Attack] [Sandworm Team] modified in-registry Internet settings to lower internet security before launching `rundll32.exe`, which in-turn launches the malware and communicates with C2 servers over the Internet. .', '[Turla] has modify Registry values to store payloads.', '[PlugX] has a module to create, delete, or modify Registry keys.', '[ShadowPad] can modify the Registry to store and maintain a configuration block and virtual file system.', '[Netwalker] can add the following registry entry: <code>HKEY_CURRENT_USER\\SOFTWARE\\{8 random characters}</code>.', '[Valak] has the ability to modify the Registry key <code>HKCU\\Software\\ApplicationContainer\\Appsw64</code> to store information regarding the C2 server and downloads.', '[ROKRAT] can modify the `HKEY_CURRENT_USER\\Software\\Microsoft\\Office\\` registry key so it can bypass the VB object model (VBOM) on a compromised host.', '[APT38] uses a tool called CLEANTOAD that has the capability to modify Registry keys.', '[HOPLIGHT] has modified Managed Object Format (MOF) files within the Registry to run specific commands and create persistence on the system.\t', '[Catchamas] creates three Registry keys to establish persistence by adding a [Windows Service]', '[gh0st RAT] has altered the InstallTime subkey.', '[SynAck] can manipulate Registry keys.', '[SLOTHFULMEDIA] can add, modify, and/or delete registry keys. It has changed the proxy configuration of a victim system by modifying the <code>HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings\\ZoneMap</code> registry.', '[Conficker] adds keys to the Registry at <code>HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services</code> and various other Registry locations.', '[DCSrv] has created Registry keys for persistence.', '[SUNBURST] had commands that allow an attacker to write or delete registry keys, and was observed stopping services by setting their <code>HKLM\\SYSTEM\\CurrentControlSet\\services\\\\[service_name]\\\\Start</code> registry entries to value 4. It also deleted previously-created Image File Execution Options (IFEO) Debugger registry values and registry keys related to HTTP proxy to clean up traces of its activity.', 'A [Patchwork] payload deletes Resiliency Registry keys created by Microsoft Office applications in an apparent effort to trick users into thinking there were no issues during application runs.', '[Explosive] has a function to write itself to Registry values. ', '[PolyglotDuke] can write encrypted JSON configuration files to the Registry.', '[PoisonIvy] creates a Registry subkey that registers a new system device.', '[KOCTOPUS] has added and deleted keys from the Registry.', '[LoJax] has modified the Registry key <code>‘HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Session Manager\\BootExecute’</code> from <code>‘autocheck autochk *’</code> to <code>‘autocheck autoche *’</code>.', '[PHOREAL] is capable of manipulating the Registry.', '[PoetRAT] has made registry modifications to alter its behavior upon execution.', '[REvil] can modify the Registry to save encryption parameters and system information.', '[BACKSPACE] is capable of deleting Registry keys, sub-keys, and values on a victim system.', '[DarkWatchman] can modify Registry values to store configuration strings, keylogger, and output of components.', '[Grandoreiro] can modify the Registry to store its configuration at `HKCU\\Software\\` under frequently changing names including <code>%USERNAME%</code> and <code>ToolTech-RM</code>.', '[Taidoor] has the ability to modify the Registry on compromised hosts using <code>RegDeleteValueA</code> and <code>RegCreateKeyExA</code>.', '[Stuxnet] can create registry keys to load driver files.', '[TinyTurla] can set its configuration parameters in the Registry.', '[FELIXROOT] deletes the Registry key <code>HKCU\\Software\\Classes\\Applications\\rundll32.exe\\shell\\open</code>.', '[SMOKEDHAM] has modified registry keys for persistence, to enable credential caching for credential access, and to facilitate lateral movement via RDP.', '[Pillowmint] has modified the Registry key <code>HKLM\\SOFTWARE\\Microsoft\\DRM</code> to store a malicious payload.', '[PipeMon] has modified the Registry to store its encrypted payload.', '[Mafalda] can manipulate the system registry on a compromised host.', '[Ember Bear] has used an open source batch script to modify Windows Defender registry keys.', '[Silence] can create, delete, or modify a specified Registry key or value.', '[TA505] has used malware to disable Windows Defender through modification of the Registry.', '[CHOPSTICK] may modify Registry keys to store RC4 encrypted configuration information.', '[HermeticWiper] has the ability to modify Registry keys to disable crash dumps, colors for compressed files, and pop-up information about folders and desktop items.', '[WarzoneRAT] can create `HKCU\\Software\\Classes\\Folder\\shell\\open\\command` as a new registry key during privilege escalation. ', '[Cobalt Strike] can modify Registry values within <code>HKEY_CURRENT_USER\\Software\\Microsoft\\Office\\<Excel Version>\\Excel\\Security\\AccessVBOM\\</code> to enable the execution of additional code.', '[APT19] uses a Port 22 malware variant to modify several Registry keys.', '[CSPY Downloader] can write to the Registry under the <code>%windir%</code> variable to execute tasks.', '[Gelsemium] can modify the Registry to store its components.', '[WastedLocker] can modify registry values within the <code>Software\\Microsoft\\Windows\\CurrentVersion\\Internet Settings\\ZoneMap</code> registry key.', '[metaMain] can write the process ID of a target process into the `HKEY_LOCAL_MACHINE\\SOFTWARE\\DDE\\tpid` Registry value as part of its reflective loading activity.', '[QuasarRAT] has a command to edit the Registry on the victim’s machine.', '[Hydraq] creates a Registry subkey to register its created service, and can also uninstall itself later by deleting this value. [Hydraq] backdoor also enables remote attackers to modify and delete subkeys.', '[BlackCat] has the ability to add the following registry key on compromised networks to maintain persistence: `HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services \\LanmanServer\\Paramenters`', '[Black Basta] can modify the Registry to enable itself to run in safe mode and to modify the icons and file extensions for encrypted files.', '[PLAINTEE] uses <code>reg add</code> to add a Registry Run key for persistence.', '[Gamaredon Group] has removed security settings for VBA macro execution by changing registry values <code>HKCU\\Software\\Microsoft\\Office\\&lt;version&gt;\\&lt;product&gt;\\Security\\VBAWarnings</code> and <code>HKCU\\Software\\Microsoft\\Office\\&lt;version&gt;\\&lt;product&gt;\\Security\\AccessVBOM</code>.', '[SILENTTRINITY] can modify registry keys, including to enable or disable Remote Desktop Protocol (RDP).', '[Uroburos] can store configuration information in the Registry including the initialization vector and AES key needed to find and decrypt other [Uroburos] components.', '[Waterbear] has deleted certain values from the Registry to load a malicious DLL. ', '[SOUNDBITE] is capable of modifying the Registry.', 'During [Night Dragon] threat actors used [zwShell] to establish full remote control of the connected machine and manipulate the Registry.', '[Remcos] has full control of the Registry, including the ability to modify it.', '[InvisiMole] has a command to create, set, copy, or delete a specified Registry key or value.', '[Metamorfo] has written process names to the Registry, disabled IE browser features, deleted Registry keys, and changed the ExtendedUIHoverTime key.', '[Mosquito] can modify Registry keys under <code>HKCU\\Software\\Microsoft\\[dllname]</code> to store configuration values. [Mosquito] also modifies Registry keys under <code>HKCR\\CLSID\\...\\InprocServer32</code> with a path to the launcher.', '[TEARDROP] modified the Registry to create a Windows service for itself on a compromised host.', '[StreamEx] has the ability to modify the Registry.', '[Attor] dispatcher can modify the Run registry key.', '[Lokibot] has modified the Registry as part of its UAC bypass process. ', '[ZxShell] can create Registry entries to enable services to run.', '[KONNI] has modified registry keys of ComSysApp, Svchost, and xmlProv on the machine to gain persistence. ', '[Wizard Spider] has modified the Registry key <code>HKLM\\System\\CurrentControlSet\\Control\\SecurityProviders\\WDigest</code> by setting the <code>UseLogonCredential</code> registry value to <code>1</code> in order to force credentials to be stored in clear text in memory. [Wizard Spider] has also modified the WDigest registry key to allow plaintext credentials to be cached in memory.', ""[APT32] backdoor has modified the Windows Registry to store the backdoor's configuration. \t"", '[Pysa] has modified the registry key “SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Policies\\System” and added the ransom note. ', 'During [Operation Honeybee] the threat actors used batch files that modified registry keys.', '[BADCALL] modifies the firewall Registry key <code>SYSTEM\\CurrentControlSet\\Services\\SharedAccess\\Parameters\\FirewallPolicy\\StandardProfileGloballyOpenPorts\\\\List</code>.', '[Earth Lusca] modified the registry using the command <code>reg add “HKEY_CURRENT_USER\\Environment” /v UserInitMprLogonScript /t REG_SZ /d “[file path]”</code> for persistence.', '[MegaCortex] has added entries to the Registry for ransom contact information.', '[Prestige] has the ability to register new registry keys for a new extension handler via `HKCR\\.enc` and `HKCR\\enc\\shell\\open\\command`.', '[RegDuke] can create seemingly legitimate Registry key to store its encryption key.', '[Blue Mockingbird] has used Windows Registry modifications to specify a DLL payload.\t', '[Neoichor] has the ability to configure browser settings by modifying Registry entries under `HKEY_CURRENT_USER\\Software\\Microsoft\\Internet Explorer`.', '[Tarrask] is able to delete the Security Descriptor (`SD`) registry subkey in order to “hide” scheduled tasks.', '[Caterpillar WebShell] has a command to modify a Registry key.', '[Bisonal] has deleted Registry keys to clean up its prior activity. ', '[TajMahal] can set the <code>KeepPrintedJobs</code> attribute for configured printers in <code>SOFTWARE\\\\Microsoft\\\\Windows NT\\\\CurrentVersion\\\\Print\\\\Printers</code> to enable document stealing.', '[HyperStack] can add the name of its communication pipe to <code>HKLM\\SYSTEM\\\\CurrentControlSet\\\\Services\\\\lanmanserver\\\\parameters\\NullSessionPipes</code>.', '[Crimson] can set a Registry key to determine how long it has been installed and possibly to indicate the version number.', '[Orz] can perform Registry operations.', '[RTM] can delete all Registry entries created during its execution.', 'During [Operation Wocao] the threat actors enabled Wdigest by changing the `HKLM\\SYSTEM\\\\ControlSet001\\\\Control\\\\SecurityProviders\\\\WDigest` registry value from 0 (disabled) to 1 (enabled).', '[Dragonfly] has modified the Registry to perform multiple techniques through the use of [Reg]', '[CrackMapExec] can create a registry key using wdigest.', '[Gorgon Group] malware can deactivate security mechanisms in Microsoft Office by editing several keys and values under <code>HKCU\\Software\\Microsoft\\Office\\</code>.', '[zwShell] can modify the Registry.', '[Chaes] can modify Registry values to stored information and establish persistence. ', '[NanoCore] has the capability to edit the Registry.', '[Clop] can make modifications to Registry keys. ', '[ThreatNeedle] can modify the Registry to save its configuration data as the following RC4-encrypted Registry key: `HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\GameCon`.', '[Ursnif] has used Registry modifications as part of its installation routine.', '[PowerShower] has added a registry key so future powershell.exe instances are spawned off-screen by default, and has removed all registry entries that are left behind during the dropper process.', '[ADVSTORESHELL] is capable of setting and deleting Registry values.', '[EVILNUM] can make modifications to the Regsitry for persistence.', '[Zeus Panda] modifies several Registry keys under <code>HKCU\\Software\\Microsoft\\Internet Explorer\\ PhishingFilter\\</code> to disable phishing filters.', '[Exaramel for Windows] adds the configuration to the Registry in XML format.', '[Naid] creates Registry entries that store information about a created service and point to a malicious DLL dropped to disk.', 'Once [Shamoon] has access to a network share, it enables the RemoteRegistry service on the target system. It will then connect to the system with RegConnectRegistryW and modify the Registry to disable UAC remote restrictions by setting <code>SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\LocalAccountTokenFilterPolicy</code> to 1.', '[SysUpdate] can write its configuration file to <code>Software\\Classes\\scConfig</code> in either <code>HKEY_LOCAL_MACHINE</code> or <code>HKEY_CURRENT_USER</code>.', '[LuminousMoth] has used malware that adds Registry keys for persistence.', '[njRAT] can create, delete, or modify a specified Registry key or value.', '[Mori] can write data to `HKLM\\Software\\NFC\\IPA` and `HKLM\\Software\\NFC\\` and delete Registry values.', '[GreyEnergy] modifies conditions in the Registry and adds keys.', '[Reg] may be used to interact with and modify the Windows Registry of a local or remote system at the command-line interface.', '[Rover] has functionality to remove Registry Run key persistence as a cleanup procedure.', '[Volgmer] modifies the Registry to store an encoded configuration file in <code>HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\WMI\\Security</code>.', '[Clambling] can set and delete Registry keys.', '[QakBot] can modify the Registry to store its configuration information in a randomly named subkey under <code>HKCU\\Software\\Microsoft</code>.', '[Bankshot] writes data into the Registry key <code>HKEY_LOCAL_MACHINE\\SOFTWARE\\Microsoft\\Pniumj</code>.', '[Kimsuky] has modified Registry settings for default file associations to enable all macros and for persistence.', '[ComRAT] has modified Registry values to store encrypted orchestrator code and payloads. ', '[Avaddon] modifies several registry keys for persistence and UAC bypass.', '[Amadey] has overwritten registry keys for persistence.', '[TrickBot] can modify registry entries.', '[APT41] used a malware variant called GOODLUCK to modify the registry in order to steal credentials.', '[DarkComet] adds a Registry value for its installation routine to the Registry Key <code>HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System Enable LUA=”0”</code> and <code>HKEY_CURRENT_USER\\Software\\DC3_FEXEC</code>.', '[Magic Hound] has modified Registry settings for security tools.', '[TYPEFRAME] can install encrypted configuration data under the Registry key <code>HKEY_LOCAL_MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\ShellCompatibility\\Applications\\laxhost.dll</code> and <code>HKEY_LOCAL_MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\PrintConfigs</code>.', '[PcShare] can delete its persistence mechanisms from the registry.', '[KEYMARBLE] has a command to create Registry entries for storing data under <code>HKEY_CURRENT_USER\\SOFTWARE\\Microsoft\\WABE\\DataPath</code>.', '[Ferocious] has the ability to add a Class ID in the current user Registry hive to enable persistence mechanisms.', '[DarkTortilla] has modified registry keys for persistence.', '[Cardinal RAT] sets <code>HKCU\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\Load</code> to point to its executable.', '[Agent Tesla] can achieve persistence by modifying Registry key entries. ', '[NightClub] can modify the Registry to set the ServiceDLL for a service created by the malware for persistence. ', '[QUADAGENT] modifies an HKCU Registry key to store a session identifier unique to the compromised system as well as a pre-shared key used for encrypting and decrypting C2 communications.', '[NETWIRE] can modify the Registry to store its configuration information.', '[Sibot] has modified the Registry to install a second-stage script in the <code>HKEY_LOCAL_MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\sibot</code>.', '[BitPaymer] can set values in the Registry to help in execution. ', '[RCSession] can write its configuration file to the Registry.', '[Nerex] creates a Registry subkey that registers a new service.', '[ShimRat] has registered two registry keys for shim databases.', 'A [Threat Group-3390] tool has created new Registry keys under `HKEY_CURRENT_USER\\Software\\Classes\\` and `HKLM\\SYSTEM\\CurrentControlSet\\services`.', '[FIN8] has deleted Registry keys during post compromise cleanup activities.', '[AADInternals] can modify registry keys as part of setting a new pass-through authentication agent.', '[Regin] appears to have functionality to modify remote Registry information.', '[Pandora] can write an encrypted token to the Registry to enable processing of remote commands.', '[Honeybee] uses a batch file that modifies Registry keys to launch a DLL into the svchost.exe process.', '[Operation Wocao] has enabled Wdigest by changing the registry value from 0 to 1.', '[Dragonfly 2.0] modified the Registry to perform multiple techniques through the use of [Reg]', '[Lazarus Group] has modified registry keys using the reg windows utility for its custom backdoor implants.', 'creates a Registry subkey that registers a new system device.']"
T1491,Defacement,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content. Reasons for [Defacement] include delivering messaging, intimidation, or claiming (possibly false) credit for an intrusion. Disturbing or offensive images may be used as a part of [Defacement] in order to cause user discomfort, or to pressure compliance with accompanying messages.  ",[]
T1563,Remote Service Session Hijacking,"Adversaries may take control of preexisting sessions with remote services to move laterally in an environment. Users may use valid credentials to log into a service specifically designed to accept remote connections, such as telnet, SSH, and RDP. When a user logs into a service, a session will be established that will allow them to maintain a continuous interaction with that service.  Adversaries may commandeer these sessions to carry out actions on remote systems. [Remote Service Session Hijacking] differs from use of [Remote Services] because it hijacks an existing session rather than creating a new session using [Valid Accounts]",[]
T1217,Browser Information Discovery,"Adversaries may enumerate information about browsers to learn more about compromised environments. Data saved by browsers (such as bookmarks, accounts, and browsing history) may reveal a variety of personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as well as details about internal network resources such as servers, tools/dashboards, or other related infrastructure.  Browser information may also highlight additional targets after an adversary has access to valid credentials, especially [Credentials In Files] associated with logins cached by a browser.  Specific storage locations vary based on platform and/or application, but browser information is typically stored in local files and databases (e.g., `%APPDATA%/Google/Chrome`).","['[Calisto] collects information on bookmarks from Google Chrome.', '[Lizar] can retrieve browser history and database files. ', '[Machete] retrieves the user profile data (e.g., browsers) from Chrome and Firefox browsers. ', '[PowerLess] has a browser info stealer module that can read Chrome and Edge browser database files.', '[Dtrack] can retrieve browser history.', '[Fox Kitten] has used Google Chrome bookmarks to identify internal resources and assets.', '[APT38] has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources.', '[DarkWatchman] can retrieve browser history.', '[Mafalda] can collect the contents of the `%USERPROFILE%\\AppData\\Local\\Google\\Chrome\\User Data\\LocalState` file. ', '[Empire] has the ability to gather browser data such as bookmarks and visited sites.', '[SUGARDUMP] has collected browser bookmark and history information.', '[MobileOrder] has a command to upload to its C2 server victim browser bookmarks.', '[Chimera] has used <code>type \\\\<hostname>\\c$\\Users\\<username>\\Favorites\\Links\\Bookmarks bar\\Imported From IE\\*citrix*</code> for bookmark discovery.']"
T1595,Active Scanning,"Adversaries may execute active reconnaissance scans to gather information that can be used during targeting. Active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction.  Adversaries may perform different forms of active scanning depending on what information they seek to gather. These scans can also be performed in various ways, including using native features of network protocols such as ICMP. Information from these scans may reveal opportunities for other forms of reconnaissance (ex: [Search Open Websites/Domains] or [Search Open Technical Databases] establishing operational resources (ex: [Develop Capabilities] or [Obtain Capabilities] and/or initial access (ex: [External Remote Services] or [Exploit Public-Facing Application]",[]
T1548,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk. An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.,[]
